Sexo;Sección;Edad (grupos quinquenales);Total
Ambos Sexos;0801902038;Total;1.568
Ambos Sexos;0801902039;Total;1.768
Ambos Sexos;0801902040;Total;1.669
Ambos Sexos;0801902041;Total;1.683
Ambos Sexos;0801902042;Total;1.608
Ambos Sexos;0801902043;Total;1.484
Ambos Sexos;0801902044;Total;1.280
Ambos Sexos;0801902045;Total;1.156
Ambos Sexos;0801902046;Total;1.953
Ambos Sexos;0801902047;Total;1.968
Ambos Sexos;0801902048;Total;1.289
Ambos Sexos;0801902049;Total;2.122
Ambos Sexos;0801902050;Total;1.648
Ambos Sexos;0801902051;Total;1.881
Ambos Sexos;0801902052;Total;1.840
Ambos Sexos;0801902053;Total;1.823
Ambos Sexos;0801902054;Total;1.874
Ambos Sexos;0801902055;Total;1.823
Ambos Sexos;0801902056;Total;1.482
Ambos Sexos;0801902057;Total;1.306
Ambos Sexos;0801902058;Total;1.383
Ambos Sexos;0801902059;Total;1.744
Ambos Sexos;0801902060;Total;1.745
Ambos Sexos;0801902061;Total;1.379
Ambos Sexos;0801902062;Total;1.511
Ambos Sexos;0801902063;Total;1.263
Ambos Sexos;0801902064;Total;1.326
Ambos Sexos;0801902065;Total;1.929
Ambos Sexos;0801902066;Total;1.771
Ambos Sexos;0801902067;Total;1.691
Ambos Sexos;0801902068;Total;1.631
Ambos Sexos;0801902069;Total;1.399
Ambos Sexos;0801902070;Total;1.277
Ambos Sexos;0801902071;Total;1.683
Ambos Sexos;0801902072;Total;1.199
Ambos Sexos;0801902073;Total;1.664
Ambos Sexos;0801902074;Total;1.294
Ambos Sexos;0801902075;Total;1.282
Ambos Sexos;0801902076;Total;1.639
Ambos Sexos;0801902077;Total;1.669
Ambos Sexos;0801902078;Total;1.338
Ambos Sexos;0801902079;Total;1.361
Ambos Sexos;0801902080;Total;1.557
Ambos Sexos;0801902081;Total;2.124
Ambos Sexos;0801902082;Total;902
Ambos Sexos;0801902083;Total;1.828
Ambos Sexos;0801902084;Total;2.059
Ambos Sexos;0801902085;Total;1.436
Ambos Sexos;0801902086;Total;1.468
Ambos Sexos;0801902087;Total;1.448
Ambos Sexos;0801902088;Total;1.667
Ambos Sexos;0801902089;Total;1.850
Ambos Sexos;0801902090;Total;1.662
Ambos Sexos;0801902091;Total;1.896
Ambos Sexos;0801902092;Total;2.495
Ambos Sexos;0801902093;Total;1.676
Ambos Sexos;0801902094;Total;1.509
Ambos Sexos;0801902095;Total;1.543
Ambos Sexos;0801902096;Total;1.442
Ambos Sexos;0801902097;Total;1.108
Ambos Sexos;0801902098;Total;1.538
Ambos Sexos;0801902099;Total;1.617
Ambos Sexos;0801902100;Total;1.348
Ambos Sexos;0801902101;Total;2.190
Ambos Sexos;0801902102;Total;1.392
Ambos Sexos;0801902103;Total;1.628
Ambos Sexos;0801902104;Total;1.164
Ambos Sexos;0801902105;Total;2.112
Ambos Sexos;0801902106;Total;1.444
Ambos Sexos;0801902107;Total;1.652
Ambos Sexos;0801902108;Total;1.665
Ambos Sexos;0801902109;Total;2.040
Ambos Sexos;0801902110;Total;1.923
Ambos Sexos;0801902111;Total;1.871
Ambos Sexos;0801902112;Total;1.339
Ambos Sexos;0801902113;Total;2.286
Ambos Sexos;0801902114;Total;1.669
Ambos Sexos;0801902115;Total;1.378
Ambos Sexos;0801902116;Total;1.039
Ambos Sexos;0801902117;Total;1.203
Ambos Sexos;0801902118;Total;1.491
Ambos Sexos;0801902119;Total;1.248
Ambos Sexos;0801902120;Total;1.168
Ambos Sexos;0801902121;Total;1.281
Ambos Sexos;0801902122;Total;1.056
Ambos Sexos;0801902123;Total;1.142
Ambos Sexos;0801902124;Total;1.088
Ambos Sexos;0801902125;Total;1.700
Ambos Sexos;0801902126;Total;1.463
Ambos Sexos;0801902127;Total;1.165
Ambos Sexos;0801902128;Total;1.317
Ambos Sexos;0801902129;Total;1.542
Ambos Sexos;0801902130;Total;1.156
Ambos Sexos;0801902131;Total;1.197
Ambos Sexos;0801902132;Total;1.109
Ambos Sexos;0801902133;Total;845
Ambos Sexos;0801902134;Total;1.469
Ambos Sexos;0801902135;Total;2.200
Ambos Sexos;0801902136;Total;914
Ambos Sexos;0801902137;Total;1.496
Ambos Sexos;0801902138;Total;1.953
Ambos Sexos;0801902139;Total;1.680
Ambos Sexos;0801902140;Total;1.917
Ambos Sexos;0801902141;Total;1.193
Ambos Sexos;0801902142;Total;2.036
Ambos Sexos;0801902143;Total;1.388
Ambos Sexos;0801902144;Total;1.583
Ambos Sexos;0801902145;Total;1.255
Ambos Sexos;0801902146;Total;1.195
Ambos Sexos;0801902147;Total;2.201
Ambos Sexos;0801902148;Total;1.582
Ambos Sexos;0801902149;Total;1.841
Ambos Sexos;0801902150;Total;1.517
Ambos Sexos;0801902151;Total;1.526
Ambos Sexos;0801902152;Total;1.271
Ambos Sexos;0801902153;Total;1.366
Ambos Sexos;0801902154;Total;1.092
Ambos Sexos;0801902155;Total;1.879
Ambos Sexos;0801902156;Total;1.273
Ambos Sexos;0801902157;Total;1.243
Ambos Sexos;0801902158;Total;1.623
Ambos Sexos;0801902159;Total;1.968
Ambos Sexos;0801902160;Total;1.979
Ambos Sexos;0801902161;Total;1.186
Ambos Sexos;0801902162;Total;1.415
Ambos Sexos;0801902163;Total;1.846
Ambos Sexos;0801902164;Total;1.513
Ambos Sexos;0801902165;Total;1.696
Ambos Sexos;0801902166;Total;2.116
Ambos Sexos;0801902167;Total;2.178
Ambos Sexos;0801902168;Total;2.330
Ambos Sexos;0801902169;Total;1.567
Ambos Sexos;0801902170;Total;1.588
Ambos Sexos;0801902171;Total;1.671
Ambos Sexos;0801902172;Total;1.563
Ambos Sexos;0801902173;Total;1.494
Ambos Sexos;0801903001;Total;1.681
Ambos Sexos;0801903002;Total;1.931
Ambos Sexos;0801903003;Total;1.757
Ambos Sexos;0801903004;Total;1.618
Ambos Sexos;0801903005;Total;1.224
Ambos Sexos;0801903006;Total;1.414
Ambos Sexos;0801903007;Total;1.680
Ambos Sexos;0801903008;Total;1.167
Ambos Sexos;0801903009;Total;1.253
Ambos Sexos;0801903010;Total;1.906
Ambos Sexos;0801903011;Total;1.771
Ambos Sexos;0801903012;Total;2.172
Ambos Sexos;0801903013;Total;1.837
Ambos Sexos;0801903014;Total;1.770
Ambos Sexos;0801903015;Total;2.989
Ambos Sexos;0801903016;Total;1.214
Ambos Sexos;0801903017;Total;1.658
Ambos Sexos;0801903018;Total;1.745
Ambos Sexos;0801903019;Total;1.583
Ambos Sexos;0801903020;Total;1.218
